RowNumber,TotalCount,SComplaintId,ComplaintType,ComplaintOn,Complaintcode,Location,TStationName,TSType,Remarks,RegistrationDate,RegistrationType,FLat,FLng,FAddress,CLat,CLng,CAddress,ModeOfReporting,PredefinedSLADuration,Status,IsClosed,CreatedBy,ClosedBy,CRemarks,ClosedOn,TotalTimeTaken,FolderName,WardName,ZoneName,CircleName,ComplaintName,ComplaintContactNumber,citizen_email,FImgUrl,CImgUrl
79,87,4120,QR Code is not working,28-09-2022 12:09:40 PM,COMP/0000000001,Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India,Ziyaguda,TS,TSC-67 and TSC-15 THIS CONTAINER IS NOT ASSIGNED ,,,17.366362125612795,78.44476872123778,,17.366362125612795,78.44476872123778,Anatapur,APP,24,CLOSED,True,81215028_Ayyaswamulu,admin@gmail.com,No remarks,10-11-2022 12:29:32 PM,1032:20,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/780649136.jpeg,https://appapi.himsw.in//content/SComplaint/172190748.exe
80,87,4119,Container SCTP Change,25-09-2022 10:18:18 AM,COMP/0000000001,C998+VP8, Khajaguda, Telangana 500032, India,Khajaguda,SCTP,Container Exchange one Tyre is punture,,,17.4191660201177,78.36713595315814,,17.4191660201177,78.36713595315814,Aanatapur123,APP,24,CLOSED,True,12180006_SasidharK,admin@gmail.com,no remarks 123,10-11-2022 12:40:00 PM,1106:22,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/898500684.jpeg,https://appapi.himsw.in//content/SComplaint/800682497.exe
81,87,4118,QR Code is not working,15-05-2024 06:47:00 PM,COMP/0000000001,2J, Dariya Bagh, Ziaguda Kamel,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,81215028_Ayyaswamulu,,25-09-2022 09:59:26 AM,-14360:48,uploads/,,,,,,,,
82,87,4116,QR Code Damaged,26-08-2022 09:00:59 AM,COMP/0000000001,Pipe Line Road, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India,Jagairgutta,SCTP,Damage of gate and rash  drive  in dump,,,17.502742102369666,78.43289801850915,,17.502742102369666,78.43289801850915,Hyderbad,APP,24,CLOSED,True,12150151_MaheshU,admin@gmail.com,no remarks,16-11-2022 12:50:51 PM,1971:50,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/259833421.jpg,https://appapi.himsw.in//content/SComplaint/851150887.exe
83,87,4115,QR Code Damaged,19-08-2022 11:13:39 AM,COMP/0000000001,GC2J+XFX, Beerappa Nagar Cross Rd, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India,Jagairgutta,SCTP,Damage to gate,,,17.502829944714904,78.43274295330048,,17.502829944714904,78.43274295330048,Hyderabad,APP,24,CLOSED,True,12150151_MaheshU,admin@gmail.com,no remarks,09-11-2022 04:40:45 PM,1973:27,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/419111735.jpeg,https://appapi.himsw.in//content/SComplaint/845994198.exe
84,87,4009,QR Code Damaged,10-05-2022 04:12:21 PM,COMP/0000000001,Ground Floor, RVR Towers, 6/3/1089/F, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India,,,Dgdg
,,,17.42275,78.46089166666667,,17.42275,78.46089166666667,lkkj,APP,24,CLOSED,True,admin@gmail.com,admin@gmail.com,ll,10-05-2022 04:13:26 PM,0:01,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/941533763.jpeg,
85,87,1007,QR Code is not working,13-01-2022 04:54:20 PM,COMP/0000000001,240, Road, Block B, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201001, India,KHAITALLAPUR,TS,5dbcdg,,,28.65409034,77.46251511,240, Road, Block B, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201001, India,28.65409034,77.46251511,240, Road, Block B, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201001, India,APP,24,CLOSED,True,admin@gmail.com,admin@gmail.com,close,16-03-2022 11:32:26 AM,1482:38,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/660387926.jpeg,
86,87,6,QR Code is not working,30-12-2021 12:58:28 PM,COMP/0000000001,GPO Ln, Palayam, Thiruvananthapuram, Kerala 695001, India,KHAITALLAPUR,TS,TS01BU1234,,,8.4974324,76.9474101,GPO Ln, Palayam, Thiruvananthapuram, Kerala 695001, India,8.4974324,76.9474101,GPO Ln, Palayam, Thiruvananthapuram, Kerala 695001, India,APP,24,CLOSED,True,TSUSER,admin@gmail.com,Completed,30-12-2021 12:59:20 PM,0:01,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/908114573.jpeg,https://appapi.himsw.in//content/SComplaint/960197197.png
87,87,4,QR Code is not working,29-12-2021 04:36:13 PM,COMP/0000000001,Rasulpur,KHAITALLAPUR,TS,Testing Bablu,,,28.0869399,77.4006229,Rasulpur, Haryana 121102, India,28.0869399,77.4006229,Rasulpur, Haryana 121102, India,APP,24,CLOSED,True,admin@gmail.com,admin@gmail.com,Done,29-12-2021 05:22:32 PM,0:46,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/573060061.jpeg,https://appapi.himsw.in//content/SComplaint/397252754.jpg
